FID,STATS_FID,SRC_NAME,SRC_CODE,TOT_AREA_SRC,TRG_NAME,TRG_CODE,TOT_AREA_TRG,AREA,OV_SRC,OV_TRG
statistical.178,1260344463891,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Spanish Exclusive Economic Zone,59.7759035114,27.2209796394,8.8225187193,45.538382593
statistical.179,1260344463890,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Romanian Exclusive Economic Zone,2.3338662672,2.3338662672,0.7564231377,100
statistical.180,1260344463889,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Bulgarian Exclusive Economic Zone,3.8863064368,3.8863064368,1.2595803583,100
statistical.181,1260344463888,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Maltese Exclusive Economic Zone,5.5098076524,5.5098076524,1.7857689839,100
statistical.182,1260344463887,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Libyan Exclusive Economic Zone,34.3177331095,34.3177331095,11.1226284569,100
statistical.183,1260344463886,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Algerian Exclusive Economic Zone,13.0921588005,13.0921588005,4.2432644829,100
statistical.184,1260344463885,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Albanian Exclusive Economic Zone,1.2056042552,1.2056042552,0.3907451624,100
statistical.185,1260344463884,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Cypriote Exclusive Economic Zone,9.6790651035,9.6790651035,3.1370558368,100
statistical.186,1260344463883,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Grecian Exclusive Economic Zone,49.9337006521,49.9337006521,16.1838778237,100
statistical.187,1260344463882,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Israeli Exclusive Economic Zone,2.6267162928,2.6239847275,0.850452654,99.8960083631
statistical.188,1260344463881,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Lebanese Exclusive Economic Zone,1.8736796847,1.8736796847,0.6072732984,100
statistical.189,1260344463880,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Syrian Exclusive Economic Zone,1.0151964529,1.0151964529,0.3290326002,100
statistical.190,1260344463879,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Turkish Exclusive Economic Zone,27.3451910879,27.3451910879,8.8627765588,100
statistical.191,1260344463878,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Ukrainian Exclusive Economic Zone,16.542335806,16.542335806,5.3614921007,100
statistical.192,1260344463877,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Georgian Exclusive Economic Zone,2.4955599622,2.4955599622,0.8088292476,100
statistical.193,1260344463876,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Russian Exclusive Economic Zone,1947.5029315179,7.559638278,2.4501340915,0.3881708292
statistical.194,1260344463875,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Moroccan Exclusive Economic Zone,26.2171975537,1.8104143787,0.5867685497,6.9054458433
statistical.195,1260344463874,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Tunisian Exclusive Economic Zone,10.252399999,10.252399999,3.3228778724,100.0000000001
statistical.196,1260344463873,fifao:FAO_MAJOR,37,308.5397776488,fifao:eez,Gibraltarian Exclusive Economic Zone,0.0425926946,0.0425926946,0.013804604,100
statistical.197,1260344491239,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,United States Exclusive Economic Zone,242.8231101398,50.9085508535,1.2296358219,20.965282433
statistical.198,1260344491238,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Nicaraguan Exclusive Economic Zone,12.428165544,5.0928924817,0.1230127931,40.9786340847
statistical.199,1260344491237,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Wallis and Futuna Exclusive Economic Zone,21.5098414987,2.1117750396,0.0510074279,9.8177154847
statistical.200,1260344491236,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Hawaiian Exclusive Economic Zone,220.0997804868,174.2354161418,4.2084503593,79.1620126819
statistical.201,1260344491235,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Johnston Atoll Exclusive Economic Zone,37.5283927294,37.5283927294,0.9064539309,100
statistical.202,1260344491234,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Howland and Baker Island Exclusive Economic Zone,35.3518892554,6.591958559,0.1592209608,18.6466938481
statistical.203,1260344491233,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Phoenix Group Exclusive Economic Zone,60.5293061209,47.1908240292,1.1398385285,77.9635965675
statistical.204,1260344491232,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Tokelau Exclusive Economic Zone,26.2133535988,24.2436766914,0.5855773306,92.4859789499
statistical.205,1260344491231,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Tongan Exclusive Economic Zone,57.5632256636,31.2344806676,0.7544319307,54.2611716205
statistical.206,1260344491230,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Niue Exclusive Economic Zone,27.2566265229,27.2566265229,0.6583515695,100
statistical.207,1260344491229,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Cook Islands Exclusive Economic Zone,165.3970331916,164.8707140812,3.9822570594,99.6817844309
statistical.208,1260344491228,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Samoan Exclusive Economic Zone,10.9665039756,10.9665039756,0.2648829303,100
statistical.209,1260344491227,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Guatemalan Exclusive Economic Zone,9.7985895878,9.6604245942,0.233336128,98.5899501931
statistical.210,1260344491226,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Mexican Exclusive Economic Zone,285.9392493464,213.5273852667,5.1575013918,74.6757871663
statistical.211,1260344491225,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,El Salvador Exclusive Economic Zone,7.7860828687,7.7860828687,0.1880636209,100
statistical.212,1260344491224,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Colombian Exclusive Economic Zone,66.0967721879,0.0023894845,0.0000577152,0.0036151304
statistical.213,1260344491223,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Costa Rican Exclusive Economic Zone,46.8332504155,31.825195925,0.7686999589,67.9542753122
statistical.214,1260344491222,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Panamanian Exclusive Economic Zone,27.2396333734,15.4334260252,0.3727761482,56.6579799869
statistical.215,1260344491221,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,American Samoa Exclusive Economic Zone,33.8326213793,33.8326213793,0.817186946,100
statistical.216,1260344491220,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Palmyra Atoll Exclusive Economic Zone,28.3475934371,28.3475934371,0.6847025847,100
statistical.217,1260344491219,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Jarvis Island Exclusive Economic Zone,25.7280286521,25.7280286521,0.6214300963,100
statistical.218,1260344491218,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Line Group Exclusive Economic Zone,134.6509904167,134.6509904167,3.2523353837,100
statistical.219,1260344491217,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,French Polynesian Exclusive Economic Zone,411.014505352,347.8307352641,8.4014399324,84.6273624738
statistical.220,1260344491216,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Pitcairn Exclusive Economic Zone,74.5754312804,41.51224797,1.0026792414,55.6647776047
statistical.221,1260344491215,fifao:FAO_MAJOR,77,4140.1323828114,fifao:eez,Clipperton Island Exclusive Economic Zone,35.6116094001,35.6116094001,0.8601562971,100
statistical.222,1260344541569,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,United States Exclusive Economic Zone,242.8231101398,105.4324455002,8.2021245838,43.4194444835
statistical.223,1260344541568,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Bahamas Exclusive Economic Zone,53.4562251016,53.4562251017,4.1586308274,100.0000000003
